arc_length,\delta = h,\delta = sqrt(2), \delta = 2h,Exact Solution,No Filter
0.274357,0.1266,0.170228,0.209712,0.185235,-0.00173231
0.275772,0.120295,0.166105,0.207636,0.186198,-0.0143887
0.277186,0.11399,0.161982,0.205561,0.18716,-0.0270453
0.2786,0.107686,0.157858,0.203486,0.188123,-0.0397019
0.280014,0.101381,0.153735,0.201411,0.189086,-0.0523585
0.281428,0.0950762,0.149612,0.199335,0.190049,-0.0650151
0.282843,0.0887716,0.145488,0.19726,0.191012,-0.0776716
0.284257,0.0976485,0.151905,0.201477,0.191978,-0.0610188
0.285671,0.106525,0.158321,0.205695,0.192944,-0.0443661
0.287085,0.115402,0.164738,0.209912,0.193911,-0.0277136
0.2885,0.124279,0.171154,0.214129,0.194877,-0.0110608
0.289914,0.133156,0.177571,0.218347,0.195843,0.00559193
0.291328,0.142033,0.183987,0.222564,0.196809,0.0222447
0.292742,0.15091,0.190404,0.226781,0.197776,0.0388974
0.294156,0.159787,0.19682,0.230999,0.198742,0.0555502
0.295571,0.168664,0.203237,0.235216,0.199708,0.0722029
0.296985,0.17754,0.209653,0.239433,0.200674,0.0888554
0.298399,0.186417,0.21607,0.243651,0.201641,0.105508
0.299813,0.195294,0.222486,0.247868,0.202607,0.122161
0.301227,0.204171,0.228903,0.252085,0.203573,0.138814
0.302642,0.213048,0.235319,0.256303,0.204539,0.155466
0.304056,0.221925,0.241736,0.26052,0.205506,0.172119
0.30547,0.230802,0.248152,0.264737,0.206472,0.188772
0.306884,0.239679,0.254568,0.268955,0.207438,0.205424
0.308299,0.248555,0.260985,0.273172,0.208404,0.222077
0.309713,0.257432,0.267401,0.277389,0.209371,0.23873
0.311127,0.266309,0.273818,0.281607,0.210337,0.255383
0.312541,0.275186,0.280234,0.285824,0.211303,0.272035
0.313955,0.284063,0.286651,0.290041,0.212269,0.288688
0.31537,0.29294,0.293067,0.294259,0.213236,0.305341
0.316784,0.301817,0.299484,0.298476,0.214202,0.321994
0.318198,0.310694,0.3059,0.302693,0.215168,0.338646
0.319612,0.319571,0.312317,0.30691,0.216134,0.355299
0.321026,0.328447,0.318733,0.311128,0.2171,0.371952
0.322441,0.337324,0.32515,0.315345,0.218067,0.388604
0.323855,0.346201,0.331566,0.319563,0.219033,0.405257
0.325269,0.355078,0.337983,0.32378,0.219999,0.42191
0.326683,0.363955,0.344399,0.327997,0.220965,0.438563
0.328098,0.372832,0.350816,0.332214,0.221932,0.455215
0.329512,0.381709,0.357232,0.336432,0.222898,0.471868
0.330926,0.390586,0.363649,0.340649,0.223864,0.488521
0.33234,0.399463,0.370065,0.344866,0.22483,0.505173
0.333754,0.408339,0.376482,0.349084,0.225797,0.521826
0.335169,0.417216,0.382898,0.353301,0.226763,0.538479
0.336583,0.426093,0.389314,0.357518,0.227729,0.555132
0.337997,0.43497,0.395731,0.361736,0.228695,0.571784
0.339411,0.443847,0.402147,0.365953,0.229662,0.588437
0.340825,0.452724,0.408564,0.37017,0.230628,0.60509
0.34224,0.461601,0.41498,0.374388,0.231594,0.621742
0.343654,0.470478,0.421397,0.378605,0.23256,0.638395
0.345068,0.479355,0.427813,0.382822,0.233527,0.655048
0.346482,0.488231,0.43423,0.38704,0.234493,0.671701
0.347897,0.497108,0.440646,0.391257,0.235459,0.688353
0.349311,0.505985,0.447063,0.395474,0.236425,0.705006
0.350725,0.514862,0.453479,0.399692,0.237392,0.721659
0.352139,0.523739,0.459896,0.403909,0.238358,0.738311
0.353553,0.532616,0.466312,0.408126,0.239324,0.754964
0.354968,0.525136,0.461609,0.405762,0.240293,0.737928
0.356382,0.517656,0.456905,0.403398,0.241262,0.720891
0.357796,0.510177,0.452202,0.401033,0.242231,0.703854
0.35921,0.502697,0.447498,0.398669,0.2432,0.686817
