"a","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.048066,1,0.56427,0.399,0.399,0
0.047841,1,0.56569,0.4,0.4,0
0.048848,1,0.5671,0.401,0.401,0
0.049856,1,0.56851,0.402,0.402,0
0.050863,1,0.56993,0.403,0.403,0
0.05187,1,0.57134,0.404,0.404,0
0.052877,1,0.57276,0.405,0.405,0
0.053884,1,0.57417,0.406,0.406,0
0.054891,1,0.57558,0.407,0.407,0
0.055898,1,0.577,0.408,0.408,0
0.056906,1,0.57841,0.409,0.409,0
0.057913,1,0.57983,0.41,0.41,0
0.058242,1,0.58124,0.411,0.411,0
0.058572,1,0.58266,0.412,0.412,0
0.058902,1,0.58407,0.413,0.413,0
0.059232,1,0.58548,0.414,0.414,0
0.059561,1,0.5869,0.415,0.415,0
0.059891,1,0.58831,0.416,0.416,0
0.060221,1,0.58973,0.417,0.417,0
0.060551,1,0.59114,0.418,0.418,0
0.06088,1,0.59256,0.419,0.419,0
0.06121,1,0.59397,0.42,0.42,0
0.058912,1,0.59538,0.421,0.421,0
0.056614,1,0.5968,0.422,0.422,0
0.054316,1,0.59821,0.423,0.423,0
0.052018,1,0.59963,0.424,0.424,0
0.04972,1,0.60104,0.425,0.425,0
0.047422,1,0.60245,0.426,0.426,0
0.045124,1,0.60387,0.427,0.427,0
0.042826,1,0.60528,0.428,0.428,0
0.040528,1,0.6067,0.429,0.429,0
0.03823,1,0.60811,0.43,0.43,0
0.035491,1,0.60953,0.431,0.431,0
0.032753,1,0.61094,0.432,0.432,0
0.030014,1,0.61235,0.433,0.433,0
0.027275,1,0.61377,0.434,0.434,0
0.024536,1,0.61518,0.435,0.435,0
0.021797,1,0.6166,0.436,0.436,0
0.019059,1,0.61801,0.437,0.437,0
0.01632,1,0.61943,0.438,0.438,0
0.013581,1,0.62084,0.439,0.439,0
0.010842,1,0.62225,0.44,0.44,0
0.01148,1,0.62367,0.441,0.441,0
0.012118,1,0.62508,0.442,0.442,0
0.012755,1,0.6265,0.443,0.443,0
0.013393,1,0.62791,0.444,0.444,0
0.014031,1,0.62933,0.445,0.445,0
0.014669,1,0.63074,0.446,0.446,0
0.015306,1,0.63215,0.447,0.447,0
0.015944,1,0.63357,0.448,0.448,0
0.016582,1,0.63498,0.449,0.449,0
0.01722,1,0.6364,0.45,0.45,0
0.01732,1,0.63781,0.451,0.451,0
0.017421,1,0.63922,0.452,0.452,0
0.017522,1,0.64064,0.453,0.453,0
0.017622,1,0.64205,0.454,0.454,0
0.017723,1,0.64347,0.455,0.455,0
0.017824,1,0.64488,0.456,0.456,0
0.017924,1,0.6463,0.457,0.457,0
0.018025,1,0.64771,0.458,0.458,0
0.018126,1,0.64912,0.459,0.459,0
0.018226,1,0.65054,0.46,0.46,0
0.020118,1,0.65195,0.461,0.461,0
0.022009,1,0.65337,0.462,0.462,0
0.0239,1,0.65478,0.463,0.463,0
0.025791,1,0.6562,0.464,0.464,0
0.027683,1,0.65761,0.465,0.465,0
0.029574,1,0.65902,0.466,0.466,0
0.031465,1,0.66044,0.467,0.467,0
0.033357,1,0.66185,0.468,0.468,0
0.035248,1,0.66327,0.469,0.469,0
0.037139,1,0.66468,0.47,0.47,0
0.038186,1,0.66609,0.471,0.471,0
0.039234,1,0.66751,0.472,0.472,0
0.040281,1,0.66892,0.473,0.473,0
0.041328,1,0.67034,0.474,0.474,0
0.042376,1,0.67175,0.475,0.475,0
0.043423,1,0.67317,0.476,0.476,0
0.04447,1,0.67458,0.477,0.477,0
0.045517,1,0.67599,0.478,0.478,0
0.046565,1,0.67741,0.479,0.479,0
0.047612,1,0.67882,0.48,0.48,0
0.044802,1,0.68024,0.481,0.481,0
0.041993,1,0.68165,0.482,0.482,0
0.039183,1,0.68307,0.483,0.483,0
0.036373,1,0.68448,0.484,0.484,0
0.033563,1,0.68589,0.485,0.485,0
0.030754,1,0.68731,0.486,0.486,0
0.027944,1,0.68872,0.487,0.487,0
0.025134,1,0.69014,0.488,0.488,0
0.022325,1,0.69155,0.489,0.489,0
0.019515,1,0.69296,0.49,0.49,0
0.026516,1,0.69438,0.491,0.491,0
0.033517,1,0.69579,0.492,0.492,0
0.040518,1,0.69721,0.493,0.493,0
0.047518,1,0.69862,0.494,0.494,0
0.05452,1,0.70004,0.495,0.495,0
0.06152,1,0.70145,0.496,0.496,0
0.068521,1,0.70286,0.497,0.497,0
0.075522,1,0.70428,0.498,0.498,0
0.082523,1,0.70569,0.499,0.499,0
0.089524,1,0.70711,0.5,0.5,0
0.093513,1,0.70852,0.501,0.501,0
0.097502,1,0.70994,0.502,0.502,0
0.10149,1,0.71135,0.503,0.503,0
0.10548,1,0.71276,0.504,0.504,0
0.10947,1,0.71418,0.505,0.505,0
0.11346,1,0.71559,0.506,0.506,0
0.11745,1,0.71701,0.507,0.507,0
0.12143,1,0.71842,0.508,0.508,0
0.12542,1,0.71983,0.509,0.509,0
0.12941,1,0.72125,0.51,0.51,0
0.12332,1,0.72266,0.511,0.511,0
0.11723,1,0.72408,0.512,0.512,0
0.11114,1,0.72549,0.513,0.513,0
0.10505,1,0.72691,0.514,0.514,0
0.098964,1,0.72832,0.515,0.515,0
