"arc_length","f_1578","f_1705","f_1834","f_1978","f_1889","f_1881"
0.226274,0.150088,0.150163,0.150167,0.15017,0.150544,0.150193
0.227688,0.151367,0.151454,0.15146,0.151464,0.151508,0.151493
0.229103,0.152646,0.152746,0.152753,0.152758,0.152471,0.152794
0.230517,0.153925,0.154038,0.154046,0.154052,0.153435,0.154094
0.231931,0.155204,0.155329,0.155339,0.155346,0.154399,0.155395
0.233345,0.156483,0.156621,0.156633,0.156641,0.155362,0.156695
0.234759,0.157761,0.157912,0.157926,0.157935,0.156326,0.157996
0.236174,0.15904,0.159204,0.159219,0.159229,0.157289,0.159296
0.237588,0.160319,0.160496,0.160512,0.160523,0.158253,0.160597
0.239002,0.161598,0.161787,0.161805,0.161817,0.159217,0.161897
0.240416,0.162877,0.163079,0.163098,0.163111,0.16018,0.163198
0.241831,0.164156,0.164371,0.164392,0.164405,0.161144,0.164498
0.243245,0.165435,0.165662,0.165685,0.165699,0.162108,0.165799
0.244659,0.166714,0.166954,0.166978,0.166994,0.163071,0.167099
0.246073,0.167993,0.168245,0.168271,0.168288,0.164035,0.1684
0.247487,0.169272,0.169537,0.169564,0.169582,0.164998,0.1697
0.248902,0.16986,0.170109,0.170135,0.170152,0.165965,0.170261
0.250316,0.170447,0.170682,0.170706,0.170722,0.166931,0.170823
0.25173,0.171034,0.171254,0.171277,0.171292,0.167898,0.171384
0.253144,0.171622,0.171826,0.171848,0.171861,0.168864,0.171945
0.254558,0.172209,0.172399,0.172419,0.172431,0.16983,0.172506
0.255973,0.172797,0.172971,0.17299,0.173001,0.170797,0.173067
0.257387,0.173384,0.173543,0.173561,0.173571,0.171763,0.173628
0.258801,0.173971,0.174116,0.174132,0.174141,0.172729,0.17419
0.260215,0.174559,0.174688,0.174703,0.174711,0.173696,0.174751
0.26163,0.175146,0.17526,0.175274,0.175281,0.174662,0.175312
0.263044,0.175734,0.175833,0.175844,0.175851,0.175629,0.175873
0.264458,0.176321,0.176405,0.176415,0.176421,0.176595,0.176434
0.265872,0.176909,0.176977,0.176986,0.17699,0.177561,0.176995
0.267286,0.177496,0.17755,0.177557,0.17756,0.178528,0.177556
0.268701,0.178083,0.178122,0.178128,0.17813,0.179494,0.178118
0.270115,0.178671,0.178694,0.178699,0.1787,0.18046,0.178679
0.271529,0.179258,0.179267,0.17927,0.17927,0.181427,0.17924
0.272943,0.179846,0.179839,0.179841,0.17984,0.182393,0.179801
0.274357,0.180433,0.180411,0.180412,0.18041,0.183359,0.180362
0.275772,0.18102,0.180984,0.180983,0.18098,0.184326,0.180923
0.277186,0.181608,0.181556,0.181554,0.18155,0.185292,0.181485
0.2786,0.182195,0.182128,0.182125,0.182119,0.186259,0.182046
0.280014,0.182783,0.182701,0.182696,0.182689,0.187225,0.182607
0.281428,0.18337,0.183273,0.183266,0.183259,0.188191,0.183168
0.282843,0.183957,0.183845,0.183837,0.183829,0.189158,0.183729
0.284257,0.185391,0.185295,0.185288,0.185281,0.190126,0.185194
0.285671,0.186825,0.186745,0.18674,0.186734,0.191095,0.186659
